Repetition	Test Size	C	Kernel	Training Time (s)	Inference Time (s)	Validation Error	Testing Error
1	0.2	0.01	rbf	4.2256	0.5602	6.39785	6.67717
1	0.2	0.01	rbf	4.1166	0.5702	10.05115	10.36958
1	0.2	0.01	rbf	3.9854	0.3163	6.39796	6.67732
1	0.2	0.01	rbf	3.7734	0.3055	10.05082	10.36929
1	0.2	0.01	rbf	3.5541	0.3373	6.39789	6.67736
1	0.2	0.01	rbf	4.2661	0.3157	10.05129	10.36970
1	0.2	0.01	rbf	3.6668	0.3060	6.39770	6.67713
1	0.2	0.01	rbf	3.7708	0.3057	10.05213	10.37068
1	0.2	1.0	rbf	3.7775	0.3156	2.28767	2.56837
1	0.2	1.0	rbf	3.8682	0.3062	4.09943	4.54867
1	0.2	1.0	rbf	3.6581	0.3055	2.28763	2.56834
1	0.2	1.0	rbf	3.6703	0.3376	4.09982	4.54905
1	0.2	1.0	rbf	3.5877	0.3066	2.28777	2.56840
1	0.2	1.0	rbf	3.4804	0.3059	4.09978	4.54893
1	0.2	1.0	rbf	3.6140	0.2958	2.28769	2.56830
1	0.2	1.0	rbf	3.7253	0.3076	4.09967	4.54896
1	0.25	0.01	rbf	3.1037	0.3070	6.57286	6.83185
1	0.25	0.01	rbf	3.3926	0.2955	10.25065	10.56797
1	0.25	0.01	rbf	3.0453	0.2869	6.57301	6.83206
1	0.25	0.01	rbf	3.2042	0.2871	10.25092	10.56828
1	0.25	0.01	rbf	3.0110	0.2967	6.57263	6.83192
1	0.25	0.01	rbf	3.3009	0.2955	10.25039	10.56768
1	0.25	0.01	rbf	3.2535	0.2959	6.57249	6.83189
1	0.25	0.01	rbf	3.4013	0.3070	10.24941	10.56661
1	0.25	1.0	rbf	3.3117	0.2962	2.32506	2.59426
1	0.25	1.0	rbf	3.2805	0.2957	4.15072	4.58854
1	0.25	1.0	rbf	3.2470	0.2958	2.32503	2.59411
1	0.25	1.0	rbf	3.1338	0.2860	4.15049	4.58805
1	0.25	1.0	rbf	3.2468	0.2863	2.32531	2.59424
1	0.25	1.0	rbf	3.0848	0.2864	4.15011	4.58757
1	0.25	1.0	rbf	3.2456	0.2962	2.32532	2.59433
1	0.25	1.0	rbf	3.1800	0.2860	4.15005	4.58740
1	0.2	0.01	linear	3.1697	0.1948	5.55547	5.97709
1	0.2	0.01	linear	3.4255	0.1840	5.55540	5.97679
1	0.2	0.01	linear	3.0714	0.1939	5.55452	5.97607
1	0.2	0.01	linear	3.2639	0.1837	5.55509	5.97649
1	0.2	1.0	linear	3.2286	0.1938	4.62057	5.15529
1	0.2	1.0	linear	3.2063	0.1946	4.62053	5.15448
1	0.2	1.0	linear	3.2086	0.1840	4.62060	5.15383
1	0.2	1.0	linear	3.4686	0.1936	4.62056	5.15370
1	0.25	0.01	linear	2.7068	0.1731	5.63114	6.03750
1	0.25	0.01	linear	2.8500	0.1943	5.63118	6.03762
1	0.25	0.01	linear	2.7396	0.1828	5.63144	6.03759
1	0.25	0.01	linear	2.7369	0.1832	5.63126	6.03729
1	0.25	1.0	linear	2.8522	0.1834	4.64478	5.15829
1	0.25	1.0	linear	2.9314	0.1834	4.64476	5.15831
1	0.25	1.0	linear	2.8291	0.1839	4.64429	5.15884
1	0.25	1.0	linear	2.8501	0.1842	4.64431	5.15887
2	0.2	0.01	rbf	3.5054	0.3267	6.29144	6.64869
2	0.2	0.01	rbf	3.6553	0.3061	9.90586	10.35028
2	0.2	0.01	rbf	3.4752	0.3061	6.29138	6.64844
2	0.2	0.01	rbf	3.6663	0.3066	9.90648	10.35094
2	0.2	0.01	rbf	3.4951	0.3071	6.29158	6.64884
2	0.2	0.01	rbf	3.6375	0.3067	9.90542	10.34980
2	0.2	0.01	rbf	3.4003	0.2951	6.29238	6.64989
2	0.2	0.01	rbf	3.7518	0.3164	9.90546	10.34988
2	0.2	1.0	rbf	3.7773	0.3467	2.30305	2.56739
2	0.2	1.0	rbf	3.9744	0.3367	4.04185	4.52439
2	0.2	1.0	rbf	3.8358	0.3163	2.30316	2.56735
2	0.2	1.0	rbf	3.5646	0.3062	4.04192	4.52420
2	0.2	1.0	rbf	3.5616	0.3057	2.30336	2.56770
2	0.2	1.0	rbf	3.7870	0.3272	4.04227	4.52430
2	0.2	1.0	rbf	3.7061	0.3078	2.30333	2.56745
2	0.2	1.0	rbf	4.0396	0.3267	4.04240	4.52390
2	0.25	0.01	rbf	3.1252	0.2974	6.42456	6.78811
2	0.25	0.01	rbf	3.2305	0.2966	10.06468	10.54490
2	0.25	0.01	rbf	3.1704	0.2973	6.42439	6.78793
2	0.25	0.01	rbf	3.4125	0.2858	10.06537	10.54568
2	0.25	0.01	rbf	3.0145	0.3055	6.42524	6.78888
2	0.25	0.01	rbf	3.3498	0.2965	10.06401	10.54415
2	0.25	0.01	rbf	3.0476	0.2871	6.42464	6.78832
2	0.25	0.01	rbf	3.1958	0.3082	10.06458	10.54485
2	0.25	1.0	rbf	3.4104	0.2965	2.30988	2.59342
2	0.25	1.0	rbf	3.1977	0.2875	4.09867	4.56098
2	0.25	1.0	rbf	3.2681	0.2858	2.30991	2.59331
2	0.25	1.0	rbf	3.2964	0.2855	4.09858	4.56063
