Repetition	Test Size	C	Kernel	Training Time (s)	Inference Time (s)	Validation Error	Testing Error
1	0.2	0.01	rbf	7.6125	0.3800	6.39785	6.67717
1	0.2	0.01	rbf	6.5373	0.3719	10.05115	10.36958
1	0.2	0.01	rbf	6.2604	0.3613	6.39796	6.67732
1	0.2	0.01	rbf	6.5333	0.3554	10.05082	10.36929
1	0.2	0.01	rbf	6.1724	0.3590	6.39789	6.67736
1	0.2	0.01	rbf	6.4789	0.3507	10.05129	10.36970
1	0.2	0.01	rbf	6.0610	0.3672	6.39770	6.67713
1	0.2	0.01	rbf	6.4766	0.3731	10.05213	10.37068
1	0.2	1.0	rbf	6.6181	0.3861	2.28767	2.56837
1	0.2	1.0	rbf	6.8861	0.4249	4.09943	4.54867
1	0.2	1.0	rbf	7.1390	0.3517	2.28763	2.56834
1	0.2	1.0	rbf	6.7468	0.4137	4.09982	4.54905
1	0.2	1.0	rbf	8.4824	0.4138	2.28777	2.56840
1	0.2	1.0	rbf	7.7120	0.3910	4.09978	4.54893
1	0.2	1.0	rbf	7.8040	0.4280	2.28769	2.56830
1	0.2	1.0	rbf	7.4057	0.3781	4.09967	4.54896
1	0.25	0.01	rbf	6.1743	0.3653	6.57286	6.83185
1	0.25	0.01	rbf	6.2051	0.3465	10.25065	10.56797
1	0.25	0.01	rbf	6.3375	0.3763	6.57301	6.83206
1	0.25	0.01	rbf	6.3210	0.3699	10.25092	10.56828
1	0.25	0.01	rbf	6.0028	0.4347	6.57263	6.83192
1	0.25	0.01	rbf	6.2638	0.3828	10.25039	10.56768
1	0.25	0.01	rbf	6.3887	0.3772	6.57249	6.83189
1	0.25	0.01	rbf	6.4729	0.3385	10.24941	10.56661
1	0.25	1.0	rbf	6.3780	0.3939	2.32506	2.59426
1	0.25	1.0	rbf	6.2663	0.3573	4.15072	4.58854
1	0.25	1.0	rbf	6.0289	0.3373	2.32503	2.59411
1	0.25	1.0	rbf	5.6872	0.3336	4.15049	4.58805
1	0.25	1.0	rbf	5.8329	0.3451	2.32531	2.59424
1	0.25	1.0	rbf	5.5638	0.3353	4.15011	4.58757
1	0.25	1.0	rbf	5.7215	0.3309	2.32532	2.59433
1	0.25	1.0	rbf	5.4891	0.3374	4.15005	4.58740
1	0.2	0.01	linear	5.3818	0.1393	5.55547	5.97709
1	0.2	0.01	linear	5.3941	0.1395	5.55540	5.97679
1	0.2	0.01	linear	5.4219	0.1439	5.55452	5.97607
1	0.2	0.01	linear	5.3811	0.1359	5.55509	5.97649
1	0.2	1.0	linear	5.7236	0.1398	4.62057	5.15529
1	0.2	1.0	linear	5.8704	0.1477	4.62053	5.15448
1	0.2	1.0	linear	5.8232	0.1368	4.62060	5.15383
1	0.2	1.0	linear	5.7697	0.1437	4.62056	5.15370
1	0.25	0.01	linear	4.8727	0.1463	5.63114	6.03750
1	0.25	0.01	linear	4.8425	0.1313	5.63118	6.03762
1	0.25	0.01	linear	4.8157	0.1330	5.63144	6.03759
1	0.25	0.01	linear	4.7465	0.1322	5.63126	6.03729
1	0.25	1.0	linear	5.0351	0.1479	4.64478	5.15829
1	0.25	1.0	linear	5.1427	0.1362	4.64476	5.15831
1	0.25	1.0	linear	5.1674	0.1312	4.64429	5.15884
1	0.25	1.0	linear	5.2151	0.1426	4.64431	5.15887
2	0.2	0.01	rbf	6.2922	0.3860	6.29144	6.64869
2	0.2	0.01	rbf	6.6362	0.3482	9.90586	10.35028
2	0.2	0.01	rbf	6.0911	0.3535	6.29138	6.64844
2	0.2	0.01	rbf	6.5183	0.3719	9.90648	10.35094
2	0.2	0.01	rbf	6.3651	0.3584	6.29158	6.64884
2	0.2	0.01	rbf	6.6610	0.3707	9.90542	10.34980
2	0.2	0.01	rbf	6.1920	0.3634	6.29238	6.64989
2	0.2	0.01	rbf	6.4992	0.3485	9.90546	10.34988
2	0.2	1.0	rbf	6.6134	0.3494	2.30305	2.56739
2	0.2	1.0	rbf	6.6420	0.3491	4.04185	4.52439
2	0.2	1.0	rbf	6.5082	0.3589	2.30316	2.56735
2	0.2	1.0	rbf	6.3249	0.4217	4.04192	4.52420
2	0.2	1.0	rbf	6.7823	0.3560	2.30336	2.56770
2	0.2	1.0	rbf	6.3387	0.3665	4.04227	4.52430
2	0.2	1.0	rbf	6.3980	0.3455	2.30333	2.56745
2	0.2	1.0	rbf	6.3901	0.3560	4.04240	4.52390
